,price,description,Zipcodes,districts,house_size,number_of_rooms
0,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,50,2
1,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,"69,03",3
2,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,37,2
3,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,49,2
4,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,88,3
5,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,57,2
6,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,50,2
7,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,2
8,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,82,3
9,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,162,7
10,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,65,3
11,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,40,1
12,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,"32,69",1
13,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,86,3
14,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,"68,23",3
15,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,90,3
16,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,50,3
17,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,50,2
18,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,"69,03",3
19,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,37,2
20,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,49,2
21,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,88,3
22,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,57,2
23,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,2
24,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,50,2
25,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,82,3
26,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,162,7
27,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,65,3
